Question,Answer
후불교통카드(터치온) 인증은 무엇인가요?,스마트폰의 NFC 기능을 이용하여 본인명의의 후불교통카드정보를 터치하여 카드정보를 획득하고 비밀번호/카드고유확인번호(카드고유확인번호) 정보를 입력하여 본인 및 거래의 유효성을 확인하는 인증방법 입니다.  
폰OTP 인증은 무엇인가요? ,폰OTP 인증은 스마트폰의 보안영역(TrustZon e또는 유심)에 탑재된 인증프로그램에서 발생된 일회용 비밀번호로 본인 및 거래의 유효성을 확인하는 인증방법입니다.  
‘NFC기능 설정 안내’ 라는 메시지가 확인될 때 어떻게 조치하면 되나요? ,"후불교통카드를 인식하기 위해서는 스마트폰의 NFC 기능이 활성화 되어 있어야 합니다. 스마트폰의 설정 메뉴 내 NFC 기능을 모두 활성화시켜 주시면 됩니다. 또한, 폰의 종류에 따라 NFC기능이 카드모드로 되어 있어 후불교통카드를 인식하지 못하는 경우 읽기쓰기, P2P 모드로 변경하신 후 후불교통카드를 휴대폰 뒷면에 접촉해 주셔야 합니다."
"‘가입하시려는 휴대폰번호와 신한카드 회원정보 상의 휴대폰번호가 일치하지 않습니다’라는 안내 메시지가 확인 되는데요, 신한카드 회원정보의 휴대폰번호는 어떻게 변경할 수 있나요? ","법인 또는 가족명의 등의 휴대폰번호를 사용하시는 고객님께서는, 신한은행 영업점을 방문해 신한카드 회원정보상의 휴대폰 번호를 변경할 수 있습니다(신분증, 신한카드 등 소지 필요).  "
본인명의가 아닌(법인 또는 가족 명의 등) 휴대폰 사용자도 신한 FAN(앱카드)를 가입하여 서비스를 이용할 수 있나요? ,본인의 후불교통카드와 스마트폰의 NFC 기능을 활용한 터치온 인증을 통해 본인명의가 아닌(법인 또는 가족 명의 등) 휴대폰 사용자도 신한 FAN(앱카드) 가입 및 이용이 가능합니다.가입조건① 본인의 후불교통카드 소지② NFC 기능을 지원하고 후불교통카드(PayOn)를 인식할 수 있는 스마트폰 소지 ③ 가입하려는 휴대폰 번호와 신한카드 회원정보에 등록된 휴대폰번호 일치※ 터치온 인증이란?후불교통카드를 휴대폰 뒷면에 터치하여 획득한 카드정보와 비밀번호/카드고유확인번호 등의 추가 입력 정보를 활용하여 본인인증을 수행하는 인증 방식 
"신한 FAN(앱카드)를 설치하여 가입하려는 법인 또는 가족 명의 스마트폰이, NFC기능을 지원하고 후불교통카드(PayOn)를 인식할 수 있는지 어떻게 확인할 수 있나요? ",1) NFC 기능은 안드로이드 OS를 탑재한 스마트폰에서 기능을 지원합니다(아이폰은 지원불가). 2) 스마트폰이 후불교통카드(PayOn)를 인식할 수 있는지 가능 여부 확인은 신한 FAN(앱카드) 설치→앱을 실행하여 서비스 가입→본인확인 및 약관동의 단계에서 본인명의 휴대폰 미사용 고객(법인/가족 명의) 메뉴를 눌러 확인할 수 있습니다.
후불교통카드가 없으면 법인/가족 명의폰에서 신한 FAN(앱카드)를 사용할 수 없나요? ,법인/가족 명의폰에서는 후불교통카드를 이용한 터치온 인증을 통해 신한 FAN(앱카드)에 가입하여 이용하실 수 있습니다. 
터치온 인증을 활용하여 법인/가족 명의폰에 신한 FAN(앱카드)를 설치하고 가입을 했습니다. 후불교통카드가 아닌 신용/체크카드 또는 법인카드를 FAN(앱카드)에 추가 등록하여 이용할 수 있나요? ,법인/가족 명의폰에 신한 FAN(앱카드)를 설치하여 이용하시기 위해서는 가입 시 후불교통카드를 이용한 터치온 인증을 수행하여야 합니다. FAN(앱카드)에 정상적으로 가입이 완료된 이후에는 후불교통 기능이 없는 카드도 카드 인증을 통해 한 장씩 추가 등록하신 후 이용하실 수 있습니다. 
NFC 기능 및 후불교통카드[PayOn] 인식 가능 스마트폰 단말기에서 신한 FAN(앱카드) 가입 시 후불교통카드를 정상적으로 인식할 수 없습니다. 어떻게 조치하면 되나요? ,"기능지원이 가능한 스마트폰에서 후불교통카드를 인식할 수 없는 경우는 스마트폰 자체의 기능 오류로 인해 발생할 수 있습니다. 해당 단말기 제조사의 서비스센터를 통해 기능 점검을 받으시고, 점검을 통해 NFC 기능의 정상적 구동을 확인하신 후 신한 FAN(앱카드) 설치를 진행해 주시길 바랍니다. "
"신한 FAN(앱카드)의 패스워드 생성 메뉴를 눌렀는데 ‘해당서비스는 본인명의 휴대폰 이용자에 한하여 제공하고 있습니다’라는 안내 메시지가 확인되는데요, 어떻게 조치하면 되나요? ","해당 기능은 휴대폰 본인명의 인증이 완료된 단말기에서만 서비스가 제공됩니다. 패스워드 생성기능 이외에도 모바일 전용카드 신청, 간편결제(롯데홈쇼핑, 네이버페이, 무설치 방식의 패스워드 간편결제 등) 가입 시 본인인증 기능도 휴대폰 본인명의 인증이 완료된 단말기에서만 서비스가 제공됩니다. "
"본인 명의의 휴대폰과 법인 명의의 휴대폰을 동시 사용 중이며, 본인 명의 휴대폰에 신한 FAN(앱카드)를 설치해 서비스를 이용하고 있습니다. 터치온 인증을 활용하여 법인 명의 휴대폰에도 신한 FAN(앱카드)을 설치해 서비스를 이용할 수 있나요? ","본인명의 휴대폰에 이미 신한 FAN(앱카드)를 설치하여 이용 중이시더라도, 터치온 인증을 활용하여 추가적으로 법인명의 휴대폰에서도 신한 FAN(앱카드) 가입 및 이용이 가능합니다. 단, 법인 또는 가족 명의 휴대폰은 고객 1인당 1대에서만 신한 FAN(앱카드) 서비스를 제공합니다."
"‘법인명의 또는 가족명의 휴대폰에서 신한 FAN(앱카드)를 가입하신 고객님은 가입일로부터 7일이 경과되어야 휴대폰 단말기의 변경이 가능합니다’ 또는 ‘해당 휴대폰 단말기에서는 최대 7일 경과 후 신한 FAN(앱카드) 가입이 가능합니다’ 라는 안내 메시지가 확인되는데요, 어떻게 조치하면 되나요?","부정거래 방지를 위해 본인명의가 아닌 휴대폰에서 신한 FAN(앱카드)를 설치하여 이용하시는 경우, 서비스에 가입한 가입일로부터 7일이 경과되어야 휴대폰 단말기 또는 이용자 변경이 가능합니다. 단, 본인명의 휴대폰으로의 신한 FAN(앱카드) 재설치는 즉시 가능합니다."
법인 또는 가족 명의 휴대폰에서 신한 FAN(앱카드) 가입 시에 사용했던 후불교통카드를 교체 또는 해지하려고합니다. 해당 카드를 교체 또는 해지하면 앱카드 사용에는 문제가 없나요? ,"해당 후불교통카드는 법인 또는 가족 명의 휴대폰의 신한 FAN(앱카드) 가입을 위한 본인인증의 수단으로 사용되었습니다. 정상적으로 신한 FAN(앱카드)가 설치되어 있다면 해당 카드를 교체 또는 해지하셔도 신한 FAN(앱카드) 사용에 아무런 문제가 없습니다.단, 교체 또는 해지 후 신한 FAN(앱카드) 서비스 사용을 위해서는 1개 이상의 카드가 추가적으로 등록되어 있어야 합니다."
폰OTP 인증/후불교통카드(터치온) 인증은 언제 이용할 수 있나요? ,"폰OTP 인증/후불교통카드(터치온) 인증은 본인인증 수단으로는 일반결제와 패스워드 간편결제 가입 시에 이용할 수 있으며 추가인증 수단으로는 일반결제와 스마트결제, 신한 FAN(앱카드)(앱 안심인증 미 완료 대상)의 30만원 이상 결제 시 이용할 수 있습니다. 또한 폰OTP 인증은 신한 FAN(앱카드)의 기본 결제수단으로 이용이 가능합니다."
폰OTP 인증/후불교통카드(터치온) 인증 메뉴를 선택하면 인증요청이 없다고 나옵니다 ,"폰OTP 인증/후불교통카드(터치온) 인증 기능은 일반결제 및 패스워드 간편결제의 가입 및 일반결제, 스마트결제, 신한 FAN(앱카드)(앱 안심인증 미 이용자 대상)의 30만원이상 거래 시 인증 수단으로 이용되며, 별도의 인증요청이 있는 경우에만 이용이 가능합니다."
폰OTP 인증/후불교통카드(터치온) 인증 선택 후 휴대폰 번호를 입력하였는데 신한 FAN(앱카드)에 등록된 번호가 아니라고 나옵니다 ,폰OTP 인증/후불교통카드(터치온) 인증은 가입이 완료된 신한 FAN(앱카드)를 이용하여 인증하는 방식으로 등록된 신한 FAN(앱카드)의 휴대폰 번호를 입력하시면 이용이 가능합니다. 
폰OTP 인증/후불교통카드(터치온) 인증 선택 후 휴대폰 번호를 입력하였는데 신한 FAN(앱카드)에 PUSH 알림이 수신되지 않습니다 ,시스템 점검 등의 사유로 PUSH 수신이 되지 않는 경우가 발생할 수 있습니다. PUSH 미 수신 시 신한 FAN(앱카드)를 수동으로 실행한 후 폰OTP 인증/후불교통카드(터치온) 인증 메뉴를 선택하면 정상적으로 이용이 가능합니다. 
폰OTP 인증/후불교통카드(터치온) 인증 선택 후 휴대폰 번호를 입력하였는데 등록된 신한 FAN(앱카드)가 없다고 나옵니다 ,폰OTP 인증/후불교통카드(터치온) 인증 이용을 위해서 사전에 신한 FAN(앱카드)가 등록되어야 합니다. 스마트폰의 구글 Play 스토어를 실행하여 신한 FAN(앱카드)를 가입한 후 이용하시면 정상적으로 인증이 가능합니다. 
후불교통카드(터치온) 인증 시 입력하는 비밀번호 또는 카드고유확인번호(CVC)를 3회 틀렸습니다. 어떻게 조치해야 하나요?,비밀번호 또는 카드고유확인번호(CVC)를 3회 이상 잘못 입력한 경우 해당 카드의 사용이 중지됩니다. 고객센터(☎ 1544-7000)를 통해 해당 카드번호의 사용중지를 해제를 요청하시면 정상적으로 이용이 가능합니다.
폰OTP 인증 시 인증 3회 오류가 발생하였습니다. 어떻게 조치해야 하나요?,"인증하는 휴대폰과 설치되어 있는 인증프로그램이 일치하지 않는 경우입니다. 고객센터(☎ 1577-4000)로 문의하시거나, 앱카드를 삭제한 후 재설치하여 등록하시면 이용 가능합니다."
폰OTP 인증 시 인증프로그램 설치가 실패하였습니다. 어떻게 조치해야 하나요? ,폰OTP 인증 시스템 오류 또는 단말기 오류입니다. 고객센터(☎ 1577-4000)를 통해 문의 하시기 바랍니다.
소지하고 있는 신한카드가 후불교통기능을 지원하는 카드인지 어떻게 확인할 수 있나요? ,플라스틱 카드의 뒷면에 ‘후불교통카드’ 또는 ‘PayOn’이라고 표시되어 있으면 후불교통 기능을 지원하는 카드입니다. 후불교통카드가 없으시면 고객센터(☎ 1544-7000)를 통해 후불교통 기능이 탑재된 카드로 교체 발급을 받으실 수 있습니다.
"iOS 사용자입니다. 앱에서 QR코드를 선택하면, 카메라가 작동하지 않습니다.",iOS 8.0 버전 이상의 단말기에서는 개인정보보호 설정에 대한 보안이 강화되었습니다. 신한카드 FAN 에서 QR코드 인식을 하기 위해서는 카메라 접근 권한을 승인해야 합니다. 설정방법은 다음과 같습니다. 휴대폰 설정>신한카드 FAN>개인정보보호>카메라>신한카드 FAN On
관리자권한(루팅/탈옥) 설정이 된 휴대폰에서 앱카드 구동이 되지 않습니다,신한카드 FAN은 루팅 또는 탈옥한 스마트폰에서는 이용이 불가합니다 
"크롬에서 캐시삭제(쿠키삭제)를 했는데, PC용 FAN페이 신규가입을 다시 하라고 나옵니다. 브라우저별로 차이가 있나요?","크롬, 사파리, 오페라, 파이어폭스의 경우, 브라우저 정책으로 캐시(쿠키) 삭제 시 해당 PC에 부여된 가입 토큰(PC용 FAN페이를 가입했다는 별도의 토큰 값으로 신용정보와 전혀 무관하며, 해당 토큰 값을 누군가 가져가더라도 별도 이용 불가한 값임)도 함께 삭제됩니다. 따라서, 상기 브라우저의 경우 쿠키(캐시) 삭제 시 신규 가입을 다시 진행해야 정상적인 결제가 가능합니다."
인터넷 익스플로러에서 PC용 FAN페이(앱카드) 약관에 동의하고 결제비밀번호를 통해서 결제하고 있었습니다. 크롬 등 다른 브라우저에서 결제를 하려면 다시 신규 가입을 해야 하나요?,"PC용 FAN페이는 웹 표준에 따른 간편결제 방식으로 동일PC라 해도 브라우저 별로 별도 가입 절차가 필요합니다. 즉, 인터넷 익스플로러, 크롬, 사파리, 오페라, 파이어폭스 등 브라우저별로 별도 가입이 필요합니다. "
PC용 FAN페이(앱카드) 비밀번호 3회 오류인 경우 어떻게 해야 하나요?,"결제비밀번호 3회 오류인 경우 비밀번호 입력횟수 초과로 FAN페이(앱카드) 사용이 제한되며, FAN 앱을 통한 본인인증 후 결제비밀번호를 재설정하셔야 합니다. 특히, PC용 FAN페이(앱카드) 이용 시 결제비밀번호 3회 오류인 경우 해당 PC에서의 등록정보가 삭제됩니다. 따라서, 이후 PC용 FAN페이(앱카드)를 사용하려면 PC등록절차부터 다시 진행하셔야 합니다."
FAN페이(앱카드)의 결제비밀번호를 분실했습니다. 재 설정방법을 알려주세요.,"결제비밀번호는 ‘신한FAN’ 앱에서 메뉴바>FAN설정>결제비밀번호 변경을 통하여 변경 가능합니다. 또한, 결제비밀번호 입력오류횟수를 초과한 경우에도 신한FAN 앱에서 추가로 본인확인 후 결제비밀번호 재설정하실 수 있습니다. "
FAN페이(앱카드) 결제비밀번호 설정 불가 기준은 무엇인가요?,"주민번호, 동일숫자 3자리 이상, 연속되는 숫자 등의 등록은 불가합니다."
"PC용 FAN페이(앱카드) 미가입 회원인데, 다른 가족이 PC용 FAN페이(앱카드)에 가입한 PC를 사용하고 있습니다. 이 PC에 추가로 제 정보를 등록하는 방법을 알려주세요.","PC용 FAN페이가 등록된 PC에서 기존 가입자 외 추가로 다른 사람이 PC용 FAN페이를 등록하고자 하는 경우 결체창 하단의 ‘신한FAN PC등록’ 클릭 후 나타나는 FAN페이(QR코드/결제코드) 결제를 진행하셔야 하며, 최초 가입과 동일하게 하단 PC용 FAN페이 약관동의에 동의하시면 됩니다. "
공용PC 등에서 PC용 FAN페이(앱카드)에 가입한 경우 본인의 PC정보는 어떻게 삭제하나요?,결제화면 및 홈페이지에서 PC정보삭제를 진행하실 수 있습니다.① PC용 FAN페이 결제화면에서 PC정보삭제 선택하시면 신한FAN페이(앱카드) 인증을 통해 본인이 등록한 PC정보를 확인할 수 있습니다. 등록된 PC의 정보는 가입 후 이용일자를 기준으로 확인되므로 삭제하고 하는 PC를 선택하여 삭제하시면 됩니다.② 신한카드 홈페이지에서 서비스>편의서비스>결제안심서비스>PC용 FAN페이(앱카드) 서비스>PC용 FAN페이(앱카드) PC정보 삭제의 메뉴로 들어가 삭제하시면 됩니다. 
신한 PC용 FAN페이 등록 방법은 어떻게 되나요?,"PC를 통해서 FAN페이(QR코드/결제코드) 결제 시 하단 PC용 FAN페이 ‘약관동의’에 동의하시면 PC 등록이 완료됩니다. 또한, PC용 FAN페이가 등록된 PC에서 기존 가입자 외 추가적으로 다른 사람이 PC용 FAN페이를 등록하고자 하는 경우, 결체창 하단의 ‘신한FAN PC등록’ 클릭 후 나타나는 FAN페이(QR코드/결제코드) 결제를 진행하셔야 하며, 최초 가입과 동일하게 하단 PC용 FAN페이 ‘약관동의’에 동의하시면 됩니다. "
PC용 FAN페이(앱카드) 등록 및 삭제방법은 어떻게 되나요?,"PC용 FAN페이(앱카드) 등록정보 삭제는 결제창에서 ‘PC정보 삭제’를 하거나 신한카드 홈페이지에서 삭제 가능합니다. 신한 FAN에 등록한 신용카드 분실 시 신한카드 고객센터에 분실신고를 하시면 해당 카드를 통한 신한 FAN페이(앱카드) 거래가 차단됩니다. ※ 신한 FAN페이(앱카드) 거래가 자동 차단되면, PC용 FAN페이(앱카드) 카드선택도 BL 등재로 인해서 선택/거래가 불가합니다. "
"앱 구동시 'Code 60', 또는 '8001' 오류코드가 보이며 앱이 종료됩니다","해외에서의 부정사용을 예방하기 위해, 서버와 휴대폰의 시간대는 일치해야 합니다. 해당 오류는 서버와 휴대폰 상호간의 시간대가 맞지 않아 발생하는 내용입니다. 따라서, 고객님의 휴대폰에 설정된 시간대를 확인해주시고. 휴대폰의 날짜 및 시간 설정 메뉴에서 네트워크에서 제공하는 자동 시간대 사용을 설정해주세요. 그리고, 신한카드 FAN을 재구동해주세요."
신한 FAN(앱카드)에서 이용 가능한 온라인 가맹점은 어디인가요? ,"온라인/모바일 쇼핑몰은 신한카드 결제가 가능한 모든 가맹점에서 이용 가능합니다.단, 가맹점의 사정에 따라 일부 쇼핑몰에서는 이용이 불가능할 수 있습니다. "
신한 FAN(앱카드) 오프라인 결제 이용 가능한 일반가맹점은 어디인가요? ,오프라인 결제 가능 가맹점은 '신한카드모바일홈페이지>신한FAN소개>주요맹점안내' 에서 확인 가능합니다.
일반 가맹점에서 신한 FAN(앱카드) 결제가 안됩니다,"가맹점에서 결제 처리 방법의 오류가 있을 수 있습니다. 가맹점 점원에게 ‘신한카드 FAN페이(앱카드)’ 결제임을 확인해 주시고, 지속적으로 결제가 안될 경우, 신한카드 모바일상담센터(☎1544-9955)로 문의 바랍니다."
신한 FAN(앱카드) 결제를 하려는데 바코드 인식이 잘 안됩니다 ,"바코드 인식이 잘 안되는 경우는 스마트폰 보호필름의 빛 반사나 화면 밝기가 어두운 경우 발생할 수 있습니다. 스마트폰 설정에서 화면 밝기를 높여주시고 다시 시도해주시고, 계속 결제가 어려운 경우 화면에 표시된 일회용 카드번호를 직접 입력하여 결제를 시도해 주시기 바랍니다. "
신한 FAN(앱카드) 이용 금액에 제한이 있나요? ,"신용카드 한도 및 체크/선불카드는 잔액 내에서 사용가능하며 별도 이용금액의 제한이 없습니다. 단, 앱안심인증을 안하신 경우 온라인/모바일에서 30만원 이상 결제 시, 공인인증서 또는 ARS 인증이 반드시 필요합니다."
신한 FAN(앱카드) 결제 비밀번호를 분실했습니다 ,결제 비밀번호 분실 시 메뉴바>FAN설정>결제 비밀번호 변경을 통하여 결제 비밀번호 재설정이 가능합니다. 
신한 FAN(앱카드) 대표카드 설정은 무엇인가요? ,"대표카드란 복수의 카드 등록시 우선 결제가 되는 주거래 카드의 개념으로 우선적으로 화면에 표시되는 카드를 말합니다. 메뉴바>FAN설정>카드관리에서 대표카드 설정이 가능하며, 대표 카드는 복수의 카드 중 하나의 카드만 설정하실 수 있습니다. "
신한 FAN(앱카드) 이용에 따른 별도 수수료가 있나요? ,"신한 FAN(앱카드)를 가입, 등록 및 이용에 따른 별도 수수료는 전혀 없습니다. 다만, 신한 FAN(앱카드) 앱 다운로드 및 결제처리 시 이동통신사에서 부과하는 데이터요금은 부과될 수 있습니다."
인터넷쇼핑몰(PC)에서 신한 FAN(앱카드)로 결제했는데 결제 완료가 되지 않습니다 ,"신한 FAN(앱카드)로 QR코드나 결제코드로 인증을 하신 후, 반드시 PC 결제창의 ‘확인’ 버튼을 눌러야 결제가 완료됩니다. '확인'을 하셨는데 동일한 경우, 인터넷설정>인터넷옵션>고급>원래대로 설정 후 해당 PC를 껐다 켜 주시기 바랍니다. 그럼에도 안되시면 해당 쇼핑몰(또는 해당PG)이나 신한카드 모바일상담센터(☎ 1544-9955)로 문의 바랍니다."
스마트폰을 변경(기기/번호이동 등)했습니다 ,"신한 FAN(앱카드) 서비스는 스마트폰 명의자에게만 제공되므로, 스마트폰 번호가 변경되었거나 동일 번호이지만 기기가 변경되었을 경우에도 앱을 다시 설치한 후 재가입하셔야 합니다. "
스마트폰을 분실했습니다. 신한 FAN(앱카드)를 타인이 사용할 수도 있나요? ,"신한 FAN(앱카드)는 결제 시 결제 비밀번호를 입력해야 하므로 타인의 사용이 불가능합니다. 또한 통신사에 분실신고를 하여 데이터 통화가 차단되면 1회용 카드번호를 통한 일반가맹점결제도 자동 차단됩니다. 결제 비밀번호는 1일 3회, 누적 5회 오류 입력시 앱이 잠금상태가 되어 재가입을 해야만 사용이 가능하므로 타인의 부정 사용이 원천적으로 차단됩니다."
신한 FAN(앱카드)에 등록한 카드가 분실 등으로 인해 사용이 불가능합니다.  ,"신한 FAN(앱카드)에 등록한 카드가 분실 등에 의해 사용이 정지되면 신한 FAN(앱카드) 결제도 자동 차단됩니다. 다만, 카드가 정지되어도 신한 FAN(앱카드) 화면에서는 카드가 노출되기 때문에 메뉴바>설정>카드관리>삭제를 통해 삭제하는 것이 좋습니다."
"신한카드로 결제하려고 하는데, 에러 메시지인 ‘브라우저의 쿠키 값을 허용으로 설정하신 후 이용하시기 바랍니다.’라고 나옵니다. 왜 그런가요?","인터넷 옵션에서 쿠키와 임시 인터넷 파일 삭제한 다음 인터넷 옵션에서 아래와 같은 방법으로 설정 후 인터넷 익스플로러 창을 닫고 다시 실행해주세요. (참고로 임시 인터넷 파일과 쿠키를 삭제하기 전, 즐겨찾기 웹사이트 데이터 보존 체크 해제 후 임시 인터넷 파일과 쿠키를 삭제해야 합니다.) 쿠키 삭제 후에도 안된다면 환경 상태를 알 수 없으니 다음의 안내대로 해보시기 바랍니다.
※ 도구→인터넷 옵션→개인정보→고급→자동으로 쿠키 처리 안함 체크→현재 사이트의 쿠키 허용 체크→
   항상 세션에 쿠키 허용 체크→확인→적용→확인 
※ 도구→인터넷옵션→개인정보→기본값클릭→적용→확인→익스플로러 창 닫고 다시 익스플로러 실행"
